Date,Gumroad Revenue,Gumroad Customers,Gumroad Followers,Substack Revenue,Substack Free Subscribers,Substack Paid Subscribers,Email Revenue,Email List Size,Twitter Followers,LinkedIn Followers,Social Clicks,Email Signups,Total Daily Revenue,Daily AOV,Email List Growth,Growth %,Notes
2026-02-01,0,0,50,0,100,0,0,500,1200,150,12,2,0,0,0,0%,Starting point
2026-02-02,0,0,52,0,104,0,0,510,1220,155,15,3,0,0,10,2.0%,Followed back some accounts
2026-02-03,25.00,1,55,10.00,110,1,0,530,1250,160,25,4,35.00,35.00,20,3.9%,First Gumroad sale - viral tweet
2026-02-04,45.50,2,128,12.00,340,8,0,1250,2840,340,45,8,57.50,28.75,720,135.8%,Viral Twitter thread - big spike
2026-02-05,15.00,1,135,8.00,350,9,0,1280,2900,360,35,6,23.00,23.00,30,2.4%,Sustained from previous momentum
2026-02-06,32.50,2,140,15.00,365,10,0,1310,2950,375,40,7,47.50,23.75,30,2.3%,Newsletter mention
2026-02-07,0,0,142,0,368,10,0,1315,2960,378,8,1,0,0,5,0.4%,Slow weekend day
2026-02-08,18.00,1,145,6.00,375,11,0,1330,3020,400,50,8,24.00,24.00,15,1.1%,LinkedIn post got traction
2026-02-09,52.00,3,150,18.00,395,12,5.00,1360,3100,425,75,12,75.00,25.00,30,2.3%,Email campaign - best day yet
2026-02-10,22.50,1,152,10.00,405,13,0,1380,3150,450,45,8,32.50,32.50,20,1.5%,Continuation from email effect
2026-02-11,28.50,2,160,14.00,420,14,0,1400,3200,480,55,10,42.50,21.25,20,1.4%,Twitter engagement continuing
2026-02-12,15.00,1,165,8.00,435,15,0,1420,3280,510,60,11,23.00,23.00,20,1.4%,Slower day - weekend coming
2026-02-13,8.00,0,168,5.00,440,16,0,1430,3320,530,12,2,13.00,0,10,0.7%,Very slow - weekend
2026-02-14,35.00,2,175,12.00,450,18,0,1450,3380,550,65,12,47.00,23.50,20,1.4%,Friday momentum
2026-02-15,42.00,2,185,16.00,470,20,0,1480,3420,570,70,13,58.00,29.00,30,2.1%,Strong week finish
2026-02-16,18.50,1,190,9.00,485,22,0,1500,3450,590,40,7,27.50,27.50,20,1.3%,Weekend slowdown
2026-02-17,12.00,1,192,7.00,495,24,0,1510,3480,605,25,5,19.00,19.00,10,0.7%,Sunday rest day
2026-02-18,55.00,3,210,20.00,520,26,8.00,1550,3580,640,85,15,83.00,27.67,40,2.6%,Monday push - strong sales
2026-02-19,32.00,2,225,14.00,540,28,0,1580,3650,680,60,12,46.00,23.00,30,1.9%,Continued momentum
2026-02-20,28.50,2,240,12.00,560,30,0,1600,3700,710,55,11,40.50,20.25,20,1.3%,Stable day
2026-02-21,38.00,3,255,16.00,580,32,0,1630,3750,740,70,14,54.00,18.00,30,1.8%,Good mid-week sales
2026-02-22,22.00,1,265,10.00,595,34,0,1650,3790,760,45,9,32.00,32.00,20,1.2%,Slower day
2026-02-23,15.00,1,270,8.00,605,36,0,1670,3820,775,30,6,23.00,23.00,20,1.2%,Weekend approach
2026-02-24,48.00,2,290,18.00,625,38,6.00,1700,3900,820,80,16,72.00,36.00,30,1.8%,Friday strong push
2026-02-25,25.50,1,305,11.00,640,40,0,1720,3950,850,50,10,36.50,36.50,20,1.2%,Weekend slowdown
2026-02-26,18.00,1,310,9.00,650,42,0,1740,3980,870,35,7,27.00,27.00,20,1.2%,Sunday quiet
2026-02-27,42.00,3,330,15.00,670,44,0,1770,4050,910,70,13,57.00,19.00,30,1.7%,Monday momentum
2026-02-28,52.50,3,350,20.00,700,48,10.00,1820,4150,960,90,18,82.50,27.50,50,2.8%,End of month push
2026-03-01,35.00,2,365,14.00,720,50,0,1850,4200,1000,65,12,49.00,24.50,30,1.6%,New month start
2026-03-02,48.00,3,380,18.00,750,52,8.00,1900,4300,1050,80,15,74.00,24.67,50,2.7%,Continued strong
2026-03-03,28.50,2,395,12.00,770,54,0,1930,4380,1090,55,10,40.50,20.25,30,1.6%,Mid-week steady
